fwn,arg,pyr,leu,phe,lys,oli,crn,fitness,missing
0,0,0,0,0,0,0,0,1.0,0
1,0,0,0,0,0,0,0,0.751,0
0,1,0,0,0,0,0,0,0.773,0
0,0,1,0,0,0,0,0,0.698,0
0,0,0,1,0,0,0,0,0.757,0
0,0,0,0,1,0,0,0,0.826,0
0,0,0,0,0,1,0,0,0.0,1
0,0,0,0,0,0,1,0,0.598,0
0,0,0,0,0,0,0,1,0.628,0
1,1,0,0,0,0,0,0,0.83,0
1,0,1,0,0,0,0,0,0.765,0
1,0,0,1,0,0,0,0,0.83,0
1,0,0,0,1,0,0,0,0.973,0
1,0,0,0,0,1,0,0,0.747,0
1,0,0,0,0,0,1,0,0.717,0
1,0,0,0,0,0,0,1,0.896,0
0,1,1,0,0,0,0,0,0.748,0
0,1,0,1,0,0,0,0,0.73,0
0,1,0,0,1,0,0,0,0.853,0
0,1,0,0,0,1,0,0,0.0,1
0,1,0,0,0,0,1,0,0.598,0
0,1,0,0,0,0,0,1,0.762,0
0,0,1,1,0,0,0,0,0.666,0
0,0,1,0,1,0,0,0,0.726,0
0,0,1,0,0,1,0,0,0.722,0
0,0,1,0,0,0,1,0,0.512,0
0,0,1,0,0,0,0,1,0.719,0
0,0,0,1,1,0,0,0,0.731,0
0,0,0,1,0,1,0,0,0.726,0
0,0,0,1,0,0,1,0,0.604,0
0,0,0,1,0,0,0,1,0.672,0
0,0,0,0,1,1,0,0,0.649,0
0,0,0,0,1,0,1,0,0.616,0
0,0,0,0,1,0,0,1,0.0,1
0,0,0,0,0,1,1,0,0.0,1
0,0,0,0,0,1,0,1,0.829,0
0,0,0,0,0,0,1,1,0.945,0
1,1,1,0,0,0,0,0,0.783,0
1,1,0,1,0,0,0,0,0.0,1
1,1,0,0,1,0,0,0,0.75,0
1,1,0,0,0,1,0,0,0.724,0
1,1,0,0,0,0,1,0,0.543,0
1,1,0,0,0,0,0,1,0.814,0
1,0,1,1,0,0,0,0,0.576,0
1,0,1,0,1,0,0,0,0.636,0
1,0,1,0,0,1,0,0,0.768,0
1,0,1,0,0,0,1,0,0.516,0
1,0,1,0,0,0,0,1,0.825,0
1,0,0,1,1,0,0,0,0.735,0
1,0,0,1,0,1,0,0,0.0,1
1,0,0,1,0,0,1,0,0.522,0
1,0,0,1,0,0,0,1,0.706,0
1,0,0,0,1,1,0,0,0.706,0
1,0,0,0,1,0,1,0,0.468,0
1,0,0,0,1,0,0,1,0.845,0
1,0,0,0,0,1,1,0,0.0,1
1,0,0,0,0,1,0,1,0.748,0
1,0,0,0,0,0,1,1,0.738,0
0,1,1,1,0,0,0,0,0.667,0
0,1,1,0,1,0,0,0,0.772,0
0,1,1,0,0,1,0,0,0.0,1
0,1,1,0,0,0,1,0,0.559,0
0,1,1,0,0,0,0,1,0.692,0
0,1,0,1,1,0,0,0,0.887,0
0,1,0,1,0,1,0,0,0.0,1
0,1,0,1,0,0,1,0,0.562,0
0,1,0,1,0,0,0,1,0.627,0
0,1,0,0,1,1,0,0,0.0,1
0,1,0,0,1,0,1,0,0.633,0
0,1,0,0,1,0,0,1,0.777,0
0,1,0,0,0,1,1,0,0.457,0
0,1,0,0,0,1,0,1,0.824,0
0,1,0,0,0,0,1,1,0.567,0
0,0,1,1,1,0,0,0,0.736,0
0,0,1,1,0,1,0,0,0.738,0
0,0,1,1,0,0,1,0,0.381,0
0,0,1,1,0,0,0,1,0.657,0
0,0,1,0,1,1,0,0,0.0,1
0,0,1,0,1,0,1,0,0.524,0
0,0,1,0,1,0,0,1,0.805,0
0,0,1,0,0,1,1,0,0.0,1
0,0,1,0,0,1,0,1,0.866,0
0,0,1,0,0,0,1,1,0.414,0
0,0,0,1,1,1,0,0,0.0,1
0,0,0,1,1,0,1,0,0.555,0
0,0,0,1,1,0,0,1,0.655,0
0,0,0,1,0,1,1,0,0.0,1
0,0,0,1,0,1,0,1,0.795,0
0,0,0,1,0,0,1,1,0.451,0
0,0,0,0,1,1,1,0,0.0,1
0,0,0,0,1,1,0,1,0.928,0
0,0,0,0,1,0,1,1,0.0,1
0,0,0,0,0,1,1,1,0.605,0
1,1,1,1,0,0,0,0,0.622,0
1,1,1,0,1,0,0,0,0.735,0
1,1,1,0,0,1,0,0,0.0,1
1,1,1,0,0,0,1,0,0.523,0
1,1,1,0,0,0,0,1,0.783,0
1,1,0,1,1,0,0,0,0.85,0
1,1,0,1,0,1,0,0,0.0,1
1,1,0,1,0,0,1,0,0.491,0
1,1,0,1,0,0,0,1,0.7,0
1,1,0,0,1,1,0,0,0.77,0
1,1,0,0,1,0,1,0,0.0,1
1,1,0,0,1,0,0,1,0.837,0
1,1,0,0,0,1,1,0,0.0,1
1,1,0,0,0,1,0,1,0.841,0
1,1,0,0,0,0,1,1,0.722,0
1,0,1,1,1,0,0,0,0.0,1
1,0,1,1,0,1,0,0,0.0,1
1,0,1,1,0,0,1,0,0.274,0
1,0,1,1,0,0,0,1,0.659,0
1,0,1,0,1,1,0,0,0.675,0
1,0,1,0,1,0,1,0,0.539,0
1,0,1,0,1,0,0,1,0.817,0
1,0,1,0,0,1,1,0,0.0,1
1,0,1,0,0,1,0,1,0.743,0
1,0,1,0,0,0,1,1,0.64,0
1,0,0,1,1,1,0,0,0.0,1
1,0,0,1,1,0,1,0,0.643,0
1,0,0,1,1,0,0,1,0.723,0
1,0,0,1,0,1,1,0,0.0,1
1,0,0,1,0,1,0,1,0.798,0
1,0,0,1,0,0,1,1,0.499,0
1,0,0,0,1,1,1,0,0.0,1
1,0,0,0,1,1,0,1,0.749,0
1,0,0,0,1,0,1,1,0.603,0
1,0,0,0,0,1,1,1,0.651,0
0,1,1,1,1,0,0,0,0.681,0
0,1,1,1,0,1,0,0,0.0,1
0,1,1,1,0,0,1,0,0.481,0
0,1,1,1,0,0,0,1,0.73,0
0,1,1,0,1,1,0,0,0.0,1
0,1,1,0,1,0,1,0,0.442,0
0,1,1,0,1,0,0,1,0.769,0
0,1,1,0,0,1,1,0,0.0,1
0,1,1,0,0,1,0,1,0.812,0
0,1,1,0,0,0,1,1,0.422,0
0,1,0,1,1,1,0,0,0.0,1
0,1,0,1,1,0,1,0,0.471,0
0,1,0,1,1,0,0,1,0.0,1
0,1,0,1,0,1,1,0,0.0,1
0,1,0,1,0,1,0,1,0.75,0
0,1,0,1,0,0,1,1,0.478,0
0,1,0,0,1,1,1,0,0.0,1
0,1,0,0,1,1,0,1,0.866,0
0,1,0,0,1,0,1,1,0.0,1
0,1,0,0,0,1,1,1,0.0,1
0,0,1,1,1,1,0,0,0.0,1
0,0,1,1,1,0,1,0,0.41,0
0,0,1,1,1,0,0,1,0.702,0
0,0,1,1,0,1,1,0,0.0,1
0,0,1,1,0,1,0,1,0.793,0
0,0,1,1,0,0,1,1,0.414,0
0,0,1,0,1,1,1,0,0.0,1
0,0,1,0,1,1,0,1,0.847,0
0,0,1,0,1,0,1,1,0.525,0
0,0,1,0,0,1,1,1,0.659,0
0,0,0,1,1,1,1,0,0.0,1
0,0,0,1,1,1,0,1,0.767,0
0,0,0,1,1,0,1,1,0.453,0
0,0,0,1,0,1,1,1,0.462,0
0,0,0,0,1,1,1,1,0.0,1
1,1,1,1,1,0,0,0,0.605,0
1,1,1,1,0,1,0,0,0.0,1
1,1,1,1,0,0,1,0,0.43,0
1,1,1,1,0,0,0,1,0.686,0
1,1,1,0,1,1,0,0,0.639,0
1,1,1,0,1,0,1,0,0.56,0
1,1,1,0,1,0,0,1,0.707,0
1,1,1,0,0,1,1,0,0.0,1
1,1,1,0,0,1,0,1,0.794,0
1,1,1,0,0,0,1,1,0.637,0
1,1,0,1,1,1,0,0,0.727,0
1,1,0,1,1,0,1,0,0.604,0
1,1,0,1,1,0,0,1,0.722,0
1,1,0,1,0,1,1,0,0.0,1
1,1,0,1,0,1,0,1,0.611,0
1,1,0,1,0,0,1,1,0.617,0
1,1,0,0,1,1,1,0,0.0,1
1,1,0,0,1,1,0,1,0.824,0
1,1,0,0,1,0,1,1,0.638,0
1,1,0,0,0,1,1,1,0.0,1
1,0,1,1,1,1,0,0,0.0,1
1,0,1,1,1,0,1,0,0.337,0
1,0,1,1,1,0,0,1,0.647,0
1,0,1,1,0,1,1,0,0.0,1
1,0,1,1,0,1,0,1,0.701,0
1,0,1,1,0,0,1,1,0.409,0
1,0,1,0,1,1,1,0,0.0,1
1,0,1,0,1,1,0,1,0.928,0
1,0,1,0,1,0,1,1,0.446,0
1,0,1,0,0,1,1,1,0.619,0
1,0,0,1,1,1,1,0,0.0,1
1,0,0,1,1,1,0,1,0.72,0
1,0,0,1,1,0,1,1,0.537,0
1,0,0,1,0,1,1,1,0.0,1
1,0,0,0,1,1,1,1,0.615,0
0,1,1,1,1,1,0,0,0.0,1
0,1,1,1,1,0,1,0,0.387,0
0,1,1,1,1,0,0,1,0.669,0
0,1,1,1,0,1,1,0,0.0,1
0,1,1,1,0,1,0,1,0.779,0
0,1,1,1,0,0,1,1,0.416,0
0,1,1,0,1,1,1,0,0.0,1
0,1,1,0,1,1,0,1,0.827,0
0,1,1,0,1,0,1,1,0.562,0
0,1,1,0,0,1,1,1,0.618,0
0,1,0,1,1,1,1,0,0.0,1
0,1,0,1,1,1,0,1,0.74,0
0,1,0,1,1,0,1,1,0.469,0
0,1,0,1,0,1,1,1,0.538,0
0,1,0,0,1,1,1,1,0.614,0
0,0,1,1,1,1,1,0,0.0,1
0,0,1,1,1,1,0,1,0.619,0
0,0,1,1,1,0,1,1,0.414,0
0,0,1,1,0,1,1,1,0.517,0
0,0,1,0,1,1,1,1,0.645,0
0,0,0,1,1,1,1,1,0.454,0
1,1,1,1,1,1,0,0,0.7,0
1,1,1,1,1,0,1,0,0.344,0
1,1,1,1,1,0,0,1,0.691,0
1,1,1,1,0,1,1,0,0.0,1
1,1,1,1,0,1,0,1,0.662,0
1,1,1,1,0,0,1,1,0.443,0
1,1,1,0,1,1,1,0,0.0,1
1,1,1,0,1,1,0,1,0.73,0
1,1,1,0,1,0,1,1,0.612,0
1,1,1,0,0,1,1,1,0.629,0
1,1,0,1,1,1,1,0,0.318,0
1,1,0,1,1,1,0,1,0.841,0
1,1,0,1,1,0,1,1,0.0,1
1,1,0,1,0,1,1,1,0.0,1
1,1,0,0,1,1,1,1,0.609,0
